round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.75507,0.44207,0.30408,0.31577,0.75507,0.75507,0.75507
2,1,0.0703,0.19806,0.19806,0.19806,0.0703,0.0703,0.0703
2,2,0.0979,0.32753,0.16905,0.11747,0.0979,0.0979,0.0979
2,3,0.05436,0.18666,0.11361,0.0639,0.05436,0.05436,0.05436
2,4,0.03744,0.11648,0.10677,0.11141,0.03744,0.03744,0.03744
2,5,0.11894,0.15476,0.10221,0.0903,0.11894,0.11894,0.11894
2,6,0.58537,0.42554,0.42768,0.34509,0.58537,0.58537,0.58537
2,7,0.84252,0.25,0.21063,0.22863,0.84252,0.84252,0.84252
2,8,0.29573,0.14286,0.11944,0.1301,0.29573,0.29573,0.29573
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.82605,0.38994,0.32906,0.35692,0.82605,0.82605,0.82605
3,1,0.06478,0.16667,0.1521,0.15905,0.06478,0.06478,0.06478
3,2,0.28374,0.32034,0.20224,0.19911,0.28374,0.28374,0.28374
3,3,0.06555,0.15818,0.14124,0.02789,0.06555,0.06555,0.06555
3,4,0.10685,0.23429,0.15227,0.12916,0.10685,0.10685,0.10685
3,5,0.47137,0.31073,0.31148,0.17097,0.47137,0.47137,0.47137
3,6,0.43818,0.4694,0.29783,0.30331,0.43818,0.43818,0.43818
3,7,0.9895,0.25,0.24738,0.24868,0.9895,0.9895,0.9895
3,8,0.73537,0.3208,0.2643,0.28386,0.73537,0.73537,0.73537
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.89158,0.21775,0.19713,0.20692,0.89158,0.89158,0.89158
4,1,0.6306,0.19808,0.15934,0.17379,0.6306,0.6306,0.6306
4,2,0.73728,0.25929,0.28077,0.25505,0.73728,0.73728,0.73728
4,3,0.08473,0.13695,0.22063,0.04659,0.08473,0.08473,0.08473
4,4,0.60913,0.21528,0.17018,0.18698,0.60913,0.60913,0.60913
4,5,0.74449,0.22855,0.27313,0.21116,0.74449,0.74449,0.74449
4,6,0.66947,0.31159,0.25324,0.26511,0.66947,0.66947,0.66947
4,7,0.95276,0.25,0.23819,0.24395,0.95276,0.95276,0.95276
4,8,0.43701,0.19862,0.11093,0.12359,0.43701,0.43701,0.43701
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.87129,0.21945,0.1913,0.20437,0.87129,0.87129,0.87129
5,1,0.75879,0.22114,0.19238,0.20462,0.75879,0.75879,0.75879
5,2,0.65929,0.28562,0.37644,0.26515,0.65929,0.65929,0.65929
5,3,0.06795,0.13698,0.21989,0.04265,0.06795,0.06795,0.06795
